iso3c,Country,Year,Sex,Age_Int,Age_Lower,Deaths,Population,mr,mra,source,Age_Int_cut,Sex_name,asmr
MEX,Mexico,2020,m,All ages,NA,184830.83224737603,63071486,293.0497503220014,293.0497503220014,Excess deaths,NA,Males,534.2586136463971
NLD,Netherlands,2020,b,All ages,NA,18322.600000000006,17134873,106.9316358516343,106.9316358516343,Excess deaths,NA,Both sexes,89.31197945466339
NLD,Netherlands,2020,f,All ages,NA,7701.599999999991,8597728,89.57715340610905,89.57715340610905,Excess deaths,NA,Females,75.13406367815902
NLD,Netherlands,2020,m,All ages,NA,10621,8537145,124.40927265496838,124.40927265496838,Excess deaths,NA,Males,102.80035388352273
NLD,Netherlands,2021,b,All ages,NA,16323.200000000012,17134873,95.2630346311876,95.2630346311876,Excess deaths,NA,Both sexes,79.20180069011771
NLD,Netherlands,2021,f,All ages,NA,6699.199999999997,8597728,77.91825933548952,77.91825933548952,Excess deaths,NA,Females,65.5990375289197
NLD,Netherlands,2021,m,All ages,NA,9624,8537145,112.73089539887164,112.73089539887164,Excess deaths,NA,Males,92.11595436777242
NOR,Norway,2020,b,All ages,NA,993.2000000000044,5421242,18.320525075250366,18.320525075250366,Excess deaths,NA,Both sexes,16.99339330886515
NOR,Norway,2020,f,All ages,NA,346.2000000000007,2681259,12.911844771430165,12.911844771430165,Excess deaths,NA,Females,11.737581470511097
NOR,Norway,2020,m,All ages,NA,647.0000000000036,2739983,23.613285191915555,23.613285191915555,Excess deaths,NA,Males,22.023566315330722
NOR,Norway,2021,b,All ages,NA,1868.4000000000087,5421242,34.46442715525352,34.46442715525352,Excess deaths,NA,Both sexes,31.707742624229123
NOR,Norway,2021,f,All ages,NA,984.7999999999993,2681259,36.72901424293585,36.72901424293585,Excess deaths,NA,Females,33.19438596198996
NOR,Norway,2021,m,All ages,NA,883.6000000000022,2739983,32.248375263642224,32.248375263642224,Excess deaths,NA,Males,29.652813127074847
PER,Peru,2020,b,All ages,NA,104370.66666666669,32971846,316.5448081574404,316.5448081574404,Excess deaths,NA,Both sexes,561.7200802616438
PER,Peru,2020,f,All ages,NA,34477.66666666667,16593240,207.7814017435213,207.7814017435213,Excess deaths,NA,Females,392.32738048875206
PER,Peru,2020,m,All ages,NA,69893.00000000001,16378606,426.73350833398166,426.73350833398166,Excess deaths,NA,Males,718.5659299895295
